Date,Value
2017-06-03,305320.0
2017-06-04,266044.0
2017-06-05,289930.0
2017-06-06,297416.0
2017-06-07,339720.0
2017-06-08,307377.0
2017-06-09,282184.0
2017-06-10,254993.0
2017-06-11,222892.0
2017-06-12,269098.0
2017-06-13,291776.0
2017-06-14,287644.0
2017-06-15,293141.0
2017-06-16,269937.0
2017-06-17,236554.0
2017-06-18,209359.0
2017-06-19,269774.0
2017-06-20,269438.0
2017-06-21,280203.0
2017-06-22,269685.0
2017-06-23,259938.0
2017-06-24,227127.0
2017-06-25,180719.0
2017-06-26,261906.0
2017-06-27,259737.0
2017-06-28,279811.0
2017-06-29,231054.0
2017-06-30,267360.0
2017-07-01,221856.0
2017-07-02,253244.0
2017-07-03,253244.0
2017-07-04,255483.0
2017-07-05,237008.0
2017-07-06,225106.0
2017-07-07,243614.0
2017-07-08,220835.0
2017-07-09,188124.0
2017-07-10,251722.0
2017-07-11,265759.0
2017-07-12,257138.0
2017-07-13,245895.0
2017-07-14,227903.0
2017-07-15,221851.0
2017-07-16,203165.0
2017-07-17,230315.0
2017-07-18,260575.0
2017-07-19,253768.0
2017-07-20,230199.0
2017-07-21,268443.0
2017-07-22,223358.0
2017-07-23,181031.0
2017-07-24,240072.0
2017-07-25,244036.0
2017-07-26,237853.0
2017-07-27,225369.0
2017-07-28,247207.0
2017-07-29,211134.0
2017-07-30,184145.0
2017-07-31,231012.0
2017-08-01,131875.0
2017-08-02,209321.0
2017-08-03,213017.0
2017-08-04,235792.0
2017-08-05,239771.0
2017-08-06,199627.0
2017-08-07,249002.0
2017-08-08,275574.0
2017-08-09,260955.0
2017-08-10,257965.0
2017-08-11,284001.0
2017-08-12,260521.0
2017-08-13,263310.0
2017-08-14,255362.0
2017-08-15,311002.0
2017-08-16,274866.0
2017-08-17,347319.0
2017-08-18,312250.0
2017-08-19,266832.0
2017-08-20,210852.0
2017-08-21,236772.0
2017-08-22,196283.0
2017-08-23,315734.0
2017-08-24,203805.0
2017-08-25,208169.0
2017-08-26,226485.0
2017-08-27,261891.0
2017-08-28,223771.0
2017-08-29,281116.0
2017-08-30,271466.0
2017-08-31,280724.0
2017-09-01,283670.0
2017-09-02,236811.0
2017-09-03,195289.0
2017-09-04,269280.0
2017-09-05,277948.0
2017-09-06,276225.0
2017-09-07,256374.0
2017-09-08,279488.0
2017-09-09,217890.0
2017-09-10,193240.0
2017-09-11,253492.0
2017-09-12,256230.0
2017-09-13,263320.0
2017-09-14,268068.0
2017-09-15,292079.0
2017-09-16,228257.0
2017-09-17,197683.0
2017-09-18,218204.0
2017-09-19,282917.0
2017-09-20,235723.0
2017-09-21,255257.0
2017-09-22,227615.0
2017-09-23,203861.0
2017-09-24,185277.0
2017-09-25,226603.0
2017-09-26,263648.0
2017-09-27,257961.0
2017-09-28,275976.0
2017-09-29,254438.0
2017-09-30,212678.0
2017-10-01,203653.0
2017-10-02,295002.0
2017-10-03,282132.0
2017-10-04,232826.0
2017-10-05,273243.0
2017-10-06,283699.0
2017-10-07,231226.0
2017-10-08,238385.0
2017-10-09,296946.0
2017-10-10,303101.0
2017-10-11,292459.0
2017-10-12,293164.0
2017-10-13,309819.0
2017-10-14,293140.0
2017-10-15,283473.0
2017-10-16,314725.0
2017-10-17,334438.0
2017-10-18,329579.0
2017-10-19,356985.0
2017-10-20,312409.0
2017-10-21,312257.0
2017-10-22,289131.0
2017-10-23,316096.0
2017-10-24,347220.0
2017-10-25,315415.0
2017-10-26,265827.0
2017-10-27,246692.0
2017-10-28,207066.0
2017-10-29,334025.0
2017-10-30,316077.0
2017-10-31,277535.0
2017-11-01,351529.0
2017-11-02,341474.0
2017-11-03,277598.0
2017-11-04,294121.0
2017-11-05,251728.0
2017-11-06,271029.0
2017-11-07,335636.0
2017-11-08,301346.0
2017-11-09,341281.0
2017-11-10,271745.0
2017-11-11,194634.0
2017-11-12,185966.0
2017-11-13,309299.0
2017-11-14,271995.0
2017-11-15,321788.0
2017-11-16,310396.0
2017-11-17,306617.0
2017-11-18,270874.0
2017-11-19,264855.0
2017-11-20,336204.0
2017-11-21,371091.0
2017-11-22,312033.0
2017-11-23,352207.0
2017-11-24,305735.0
2017-11-25,336689.0
2017-11-26,329677.0
2017-11-27,379256.0
2017-11-28,365977.0
2017-11-29,398090.0
2017-11-30,384386.0
2017-12-01,412908.0
2017-12-02,326354.0
2017-12-03,353044.0
2017-12-04,400686.0
2017-12-05,405709.0
2017-12-06,443587.0
2017-12-07,374917.0
2017-12-08,385092.0
2017-12-09,403399.0
